Gene Symbol,Gene ID,Median (Tumor),Median (Normal),Log2(Fold Change),adjp
RP11-297N6.4,ENSG00000255046.1,0.33,0.345,-0.016,6.14E-01
FAM66D,ENSG00000255052.4,0.22,0.795,-0.557,8.26E-25
RP1-317E23.6,ENSG00000255054.3,0,0.425,-0.511,4.28E-43
RP11-567M21.3,ENSG00000255057.1,0.01,0,0.014,4.41E-02
RP11-712L6.5,ENSG00000255062.1,1.12,0.795,0.24,3.52E-05
SAA2-SAA4,ENSG00000255071.3,0.22,0,0.287,5.63E-08
PIGY,ENSG00000255072.1,0,4.075,-2.343,1.28E-27
RP11-1082L8.3,ENSG00000255080.1,0.04,0,0.057,7.52E-01
GRM5-AS1,ENSG00000255082.1,0.005,0,0.007,3.85E-02
RP11-326C3.10,ENSG00000255089.1,0.025,1.62,-1.354,6.31E-47
MIR100HG,ENSG00000255090.5,0.39,2.755,-1.434,9.09E-24
RP11-495O11.1,ENSG00000255091.1,0.19,0,0.251,1.00E+00
RP11-58K22.4,ENSG00000255092.1,0.02,0,0.029,9.09E-05
RP11-21L23.3,ENSG00000255100.1,0.4,2.365,-1.265,1.99E-36
ZNF286A,ENSG00000255104.7,0.07,0.58,-0.562,6.59E-48
RP11-110I1.6,ENSG00000255114.1,0.55,0,0.632,2.39E-12
RP11-703H8.7,ENSG00000255118.1,0.15,0,0.202,1.44E-10
OVOL1-AS1,ENSG00000255120.5,0.09,0,0.124,2.35E-06
RP11-110I1.12,ENSG00000255121.2,1.28,1,0.189,3.25E-04
RP11-685M7.5,ENSG00000255125.1,0,0.16,-0.214,1.03E-14
RP11-839D17.3,ENSG00000255129.5,0.33,0.645,-0.307,3.21E-07
RP11-111M22.3,ENSG00000255135.3,12.44,10.815,0.186,1.65E-02
HNRNPA1P76,ENSG00000255141.1,0.03,0,0.043,9.15E-06
STX17-AS1,ENSG00000255145.2,1.6,1.16,0.267,5.94E-05
RP11-655M14.4,ENSG00000255147.1,0.08,0,0.111,1.44E-07
RP4-791M13.4,ENSG00000255148.2,0,0.1,-0.138,1.82E-10
MSH5-SAPCD1,ENSG00000255152.8,2.185,5.235,-0.969,1.20E-21
TOLLIP-AS1,ENSG00000255153.1,1.81,3.865,-0.792,4.43E-13
RPP14,ENSG00000255154.7,3.595,4.415,-0.237,1.30E-02
RP11-754B17.1,ENSG00000255158.1,0.16,0.715,-0.564,5.70E-25
RP11-318C2.1,ENSG00000255159.1,0.03,0,0.043,4.50E-01
RP5-1047A19.4,ENSG00000255164.1,0.02,0,0.029,6.39E-03
PDXDC2P,ENSG00000255185.5,0.57,0.775,-0.177,8.50E-04
GLYATL1P1,ENSG00000255189.1,0.01,0,0.014,5.60E-04
NANOGP8,ENSG00000255192.5,0.06,0.21,-0.191,1.79E-06
RP11-750H9.5,ENSG00000255197.5,1.135,0.69,0.337,1.43E-04
SNHG9,ENSG00000255198.4,37.845,40.355,-0.09,1.00E+00
RP11-350N15.4,ENSG00000255201.1,0.53,8.18,-2.585,3.99E-90
RP4-541C22.5,ENSG00000255202.1,0.04,0,0.057,6.27E-04
OR7E2P,ENSG00000255203.1,0.02,0.2,-0.234,3.86E-38
RP11-831A10.1,ENSG00000255216.1,0.11,0,0.151,8.23E-09
SETP17,ENSG00000255222.1,0.03,0.09,-0.082,4.79E-08
RP11-727A23.10,ENSG00000255234.5,0.05,0.13,-0.106,5.35E-07
RP13-317D12.3,ENSG00000255237.1,0.38,0.78,-0.367,7.23E-13
RP11-142C4.6,ENSG00000255240.5,0.07,0,0.098,7.19E-05
FXYD6-FXYD2,ENSG00000255245.3,0,0.585,-0.664,3.31E-49
RP11-166D19.1,ENSG00000255248.6,11.37,107.195,-3.129,4.42E-47
PRR23D1,ENSG00000255251.1,0.02,0,0.029,1.00E-05
WTAPP1,ENSG00000255282.6,0.165,0,0.22,2.85E-08
RP11-655C2.3,ENSG00000255299.5,0,0.11,-0.151,2.02E-28
RP11-624G17.3,ENSG00000255301.1,0,0.145,-0.195,3.24E-33
OR4A46P,ENSG00000255304.1,0,0.07,-0.098,1.87E-47
RP5-901A4.1,ENSG00000255306.1,0.19,0.195,-0.006,2.35E-01
RP11-655M14.13,ENSG00000255318.1,0.085,0.415,-0.383,9.69E-07
RP11-755F10.1,ENSG00000255320.1,1.025,0.585,0.353,4.44E-07
RP11-91I20.4,ENSG00000255321.1,0.05,0,0.07,1.06E-08
RP11-22P4.1,ENSG00000255322.1,0.12,0.24,-0.147,1.50E-10
RP11-326C3.12,ENSG00000255328.1,0.09,1.615,-1.262,2.76E-100
SOGA3,ENSG00000255330.8,0.03,0.68,-0.706,3.84E-94
RP11-315O6.1,ENSG00000255337.1,0.73,1.965,-0.777,2.32E-18
RP11-411B6.6,ENSG00000255339.6,3.03,4.94,-0.56,3.26E-05
NOX5,ENSG00000255346.9,0.17,0.3,-0.152,4.09E-01
RP11-37O16.3,ENSG00000255350.1,0,0.03,-0.043,2.24E-23
RP11-382M14.1,ENSG00000255353.1,0.02,0.03,-0.014,4.77E-01
RP11-567O18.1,ENSG00000255358.1,0.15,0,0.202,7.83E-16
RP11-619A14.3,ENSG00000255362.1,0.33,0.315,0.016,3.56E-01
RP11-672A2.5,ENSG00000255363.1,0,0.135,-0.183,2.51E-42
RP11-1134I14.8,ENSG00000255366.1,0.06,0.125,-0.086,3.37E-02
RP13-726E6.2,ENSG00000255367.1,0.06,0.045,0.021,9.88E-03
TAS2R43,ENSG00000255374.2,0,0.125,-0.17,1.78E-21
PRR23D2,ENSG00000255378.1,0.02,0,0.029,2.60E-05
RP11-770J1.4,ENSG00000255384.1,0.02,0.03,-0.014,4.99E-03
RP11-732A19.5,ENSG00000255390.1,1.325,15.764,-2.85,5.49E-90
HCAR3,ENSG00000255398.2,0.16,0.05,0.144,3.22E-06
RP11-770G2.5,ENSG00000255404.1,0,0.02,-0.029,2.57E-01
PCDHA3,ENSG00000255408.3,0.2,0.77,-0.561,1.70E-06
RP11-266A24.1,ENSG00000255418.5,0,0.16,-0.214,4.89E-22
RP11-770J1.3,ENSG00000255435.6,2.19,2.06,0.06,3.18E-02
RP11-196G11.1,ENSG00000255439.6,0.54,2.01,-0.967,1.11E-43
RP11-632K5.2,ENSG00000255440.1,0.04,0,0.057,2.16E-05
RP1-68D18.4,ENSG00000255443.1,0.04,0.03,0.015,3.75E-01
RP11-573M3.3,ENSG00000255445.1,0.04,1.265,-1.123,1.55E-138
RP11-91P24.6,ENSG00000255449.1,0.27,0.555,-0.292,5.83E-07
RP11-890B15.3,ENSG00000255455.2,1.395,4.625,-1.232,3.88E-46
RP11-539G18.3,ENSG00000255458.5,0.495,0.75,-0.227,2.16E-03
RP11-483L5.1,ENSG00000255462.1,0.545,0,0.628,8.41E-11
RP11-867G23.8,ENSG00000255468.6,1.65,0.99,0.413,1.13E-10
RP11-736K20.5,ENSG00000255471.1,1.175,2.695,-0.764,3.80E-10
RP11-234B24.2,ENSG00000255474.1,0.02,0.05,-0.042,1.02E-04
RP11-867O8.5,ENSG00000255478.1,0,0.14,-0.189,1.27E-20
RP11-672A2.6,ENSG00000255479.1,0,0.155,-0.208,7.60E-49
RP4-710M3.2,ENSG00000255480.1,0.11,0,0.151,5.33E-08
RP11-65M17.1,ENSG00000255484.2,0.01,0,0.014,6.86E-04
RP11-513D5.5,ENSG00000255487.1,0,0.65,-0.722,3.86E-49
RP11-618K13.2,ENSG00000255498.1,0.21,1.77,-1.195,2.78E-01
RP11-788M5.3,ENSG00000255504.2,0,1.075,-1.053,7.43E-108
RP11-535A19.2,ENSG00000255507.5,0.4,0.155,0.278,3.50E-08
RP11-864I4.1,ENSG00000255508.7,2.475,3.425,-0.349,2.39E-07
RP4-607I7.1,ENSG00000255521.1,0.01,0,0.014,6.90E-01
NPIPB8,ENSG00000255524.7,0.22,1.26,-0.889,3.41E-40
NEDD8-MDP1,ENSG00000255526.6,0.33,0.385,-0.058,7.02E-01
POLR2M,ENSG00000255529.7,13.97,17.439,-0.301,5.42E-05
OR10V2P,ENSG00000255538.1,0,0.095,-0.131,1.55E-30
RP11-627G23.1,ENSG00000255545.7,0,0.01,-0.014,4.21E-01
RP11-617B3.2,ENSG00000255548.1,0,0.57,-0.651,2.74E-97
LY6G6E,ENSG00000255552.7,0.08,0,0.111,5.32E-06
RP11-351I21.6,ENSG00000255556.2,0.03,0.055,-0.035,7.71E-01
RP11-770G2.2,ENSG00000255557.1,0.3,0,0.379,1.76E-10
ZNF252P-AS1,ENSG00000255559.1,0.6,0.56,0.037,2.36E-02
FDXACB1,ENSG00000255561.6,2.105,1.015,0.624,2.45E-20
UNC93B6,ENSG00000255562.2,0.035,0,0.05,1.34E-07
RP11-114F3.5,ENSG00000255566.1,0.1,0.315,-0.258,5.58E-06
LINC00925,ENSG00000255571.6,1.165,0.425,0.603,5.95E-11
RP11-415I12.2,ENSG00000255583.2,0.005,0.02,-0.021,4.78E-05
RP11-188C12.2,ENSG00000255585.3,0.18,0.93,-0.71,1.45E-39
RAB44,ENSG00000255587.7,0.01,0.04,-0.042,1.76E-17
RP4-809F18.1,ENSG00000255595.1,0.02,0,0.029,1.58E-03
RP11-377D9.3,ENSG00000255621.1,0.04,0.06,-0.027,3.75E-02
PCDHB17P,ENSG00000255622.3,0.1,0.2,-0.126,9.32E-01
RP11-564D11.3,ENSG00000255624.2,0.565,0,0.646,2.42E-25
RP11-196H14.3,ENSG00000255629.1,0.65,1.06,-0.32,3.19E-01
RP11-234B24.6,ENSG00000255639.2,6.135,1.515,1.504,4.81E-54
RP11-277P12.6,ENSG00000255641.1,0.11,0.075,0.046,5.20E-01
PABPC1P4,ENSG00000255642.1,0.36,2.58,-1.396,1.37E-63
FAM222A-AS1,ENSG00000255650.5,0.21,1.065,-0.771,8.12E-35
RP11-313F23.4,ENSG00000255652.2,0.085,0,0.118,3.57E-03
RP11-256L11.3,ENSG00000255655.1,0.05,0.095,-0.061,8.38E-04
RP11-253I19.3,ENSG00000255670.1,0.24,0.445,-0.221,1.65E-03
RP11-227B21.2,ENSG00000255686.1,0.22,0,0.287,4.76E-13
RP11-136I14.5,ENSG00000255689.1,0.18,0,0.239,2.15E-09
TRIL,ENSG00000255690.2,2.345,1.135,0.648,7.43E-07
RP11-667M19.9,ENSG00000255710.2,0.15,0.535,-0.417,3.56E-14
SNHG1,ENSG00000255717.6,77.222,210.963,-1.438,2.52E-37
TDGP1,ENSG00000255725.2,0.02,0,0.029,2.60E-01
LINC01489,ENSG00000255727.1,0.07,0.335,-0.319,5.51E-06
IFNG-AS1,ENSG00000255733.5,0.02,0,0.029,3.79E-01
RP11-757G1.5,ENSG00000255741.1,0.07,0,0.098,3.96E-03
RP11-283G6.5,ENSG00000255750.5,13.95,0,3.902,1.29E-55
RP11-428G5.5,ENSG00000255760.1,0.2,0.06,0.179,1.55E-04
GOLGA2P10,ENSG00000255769.7,12.72,8.049,0.6,2.03E-03
RP11-1029F8.1,ENSG00000255780.1,0.11,0,0.151,3.55E-05
RMST,ENSG00000255794.6,2.75,0.13,1.731,1.53E-15
RP1-34M23.5,ENSG00000255811.1,0.03,0,0.043,3.24E-04
KRT8P11,ENSG00000255815.3,0.03,0.08,-0.068,9.23E-01
RP11-196H14.4,ENSG00000255817.1,0,0.19,-0.251,4.26E-29
KLRC4-KLRK1,ENSG00000255819.6,0.165,0.14,0.031,7.07E-01
MTRNR2L8,ENSG00000255823.2,0.05,0.23,-0.228,2.42E-02
TIFAB,ENSG00000255833.1,0.07,0,0.098,9.67E-08
RP11-157G21.2,ENSG00000255836.1,0.46,0.025,0.51,1.18E-11
TAS2R20,ENSG00000255837.1,0.17,2.32,-1.505,8.53E-131
RP11-167N4.2,ENSG00000255847.5,0.755,0.04,0.755,1.05E-16
TMEM5-AS1,ENSG00000255850.1,0.03,0.3,-0.336,1.21E-20
PXN-AS1,ENSG00000255857.5,6.255,13.9,-1.038,6.52E-33
RP11-807H22.6,ENSG00000255860.2,0.05,0,0.07,1.45E-05
RP11-444D3.1,ENSG00000255864.5,0.2,1.35,-0.97,4.50E-33
LINC00346,ENSG00000255874.2,0.45,0.13,0.36,6.48E-10
RP11-79P5.10,ENSG00000255883.1,0.305,0.855,-0.507,1.52E-24
RP11-685N10.1,ENSG00000255893.1,0.13,1.2,-0.961,5.65E-48
RP11-405A12.2,ENSG00000255910.1,0.04,0,0.057,6.90E-02
RP11-495K9.5,ENSG00000255933.1,0.09,0.225,-0.168,3.13E-09
RP5-940J5.3,ENSG00000255966.1,0.25,0.145,0.127,6.04E-03
RP11-438L7.3,ENSG00000255967.1,0.03,0.02,0.014,6.59E-02
RP11-513G19.1,ENSG00000255968.1,0.04,0.14,-0.132,1.24E-06
RP11-43N5.1,ENSG00000255970.1,0.02,0.055,-0.049,6.88E-02
RP11-1038A11.1,ENSG00000255983.1,0.18,0.035,0.189,5.04E-04
MT1JP,ENSG00000255986.6,0,0.23,-0.299,2.45E-19
TOMM20P2,ENSG00000255987.1,0.14,0.145,-0.006,5.11E-01
RP11-417L19.4,ENSG00000255992.1,0.195,0.2,-0.006,1.00E+00
RP11-575F12.2,ENSG00000256001.1,0.175,0,0.233,2.93E-02
RP11-27M24.1,ENSG00000256013.1,3.465,0,2.159,4.39E-23
RP11-197N18.2,ENSG00000256028.2,0.5,3.895,-1.706,1.83E-112
RP11-190A12.7,ENSG00000256029.5,0.25,0.375,-0.137,3.91E-01
MRPL40P1,ENSG00000256037.1,0.06,0,0.084,7.24E-07
RP11-291B21.2,ENSG00000256039.1,0.12,0.05,0.093,3.01E-01
PAPPA-AS1,ENSG00000256040.2,0.04,0.435,-0.464,4.15E-49
RP11-982M15.6,ENSG00000256050.2,0.04,0,0.057,8.40E-06
RP11-709A23.2,ENSG00000256056.1,0.22,0.24,-0.023,1.00E+00
TRAPPC2B,ENSG00000256060.2,10.46,12.015,-0.184,1.93E-01
URB1-AS1,ENSG00000256073.3,9.36,4.95,0.8,9.17E-16
RP11-366L20.3,ENSG00000256083.1,0.04,0,0.057,6.82E-06
RP11-134N1.2,ENSG00000256084.1,0.42,0.08,0.395,7.12E-09
ZNF432,ENSG00000256087.6,3.07,7.385,-1.043,2.99E-32
MTRF1LP1,ENSG00000256091.1,0,0.08,-0.111,2.94E-19
RP13-942N8.1,ENSG00000256092.2,1.17,1.915,-0.426,2.40E-04
RP11-90D4.3,ENSG00000256101.5,0.07,0.205,-0.171,6.35E-04
RP13-672B3.5,ENSG00000256108.1,0.03,0.12,-0.121,3.33E-16
RP11-319E16.1,ENSG00000256115.5,0.05,0,0.07,3.93E-08
RP11-783K16.14,ENSG00000256116.1,1.155,1.925,-0.441,1.79E-08
LINC01152,ENSG00000256124.5,0.31,0.02,0.361,3.25E-09
LINC00944,ENSG00000256128.5,0.2,0.05,0.193,2.50E-06
RP11-968O1.5,ENSG00000256139.2,0.22,0.71,-0.487,1.60E-23
RP11-319E16.2,ENSG00000256146.1,0.05,0,0.07,2.35E-07
RP11-76C10.5,ENSG00000256151.1,0,0.05,-0.07,5.01E-02
SMLR1,ENSG00000256162.2,0,0.12,-0.164,7.91E-53
RP11-627K11.3,ENSG00000256176.1,0.08,0,0.111,9.97E-04
TAS2R30,ENSG00000256188.2,0.01,0.07,-0.083,1.03E-21
RP11-167N4.5,ENSG00000256189.1,0,0.05,-0.07,9.88E-04
RP11-64D24.4,ENSG00000256195.2,0,0.01,-0.014,1.76E-06
RP11-881M11.4,ENSG00000256196.1,0.07,0,0.098,7.01E-06
PSMA1,ENSG00000256206.2,0.07,0,0.098,1.00E+00
RP11-1018J11.1,ENSG00000256211.1,0.06,0.11,-0.066,5.40E-01
RP11-1038A11.2,ENSG00000256218.1,0.04,0,0.057,1.32E-02
MTRNR2L3,ENSG00000256222.2,0.02,0,0.029,1.67E-01
ZNF10,ENSG00000256223.5,2.42,15.345,-2.257,9.93E-84
ZNF486,ENSG00000256229.7,3.285,2.195,0.423,2.04E-02
RP11-771K4.1,ENSG00000256232.1,0.465,0,0.551,3.21E-17
RP11-283G6.4,ENSG00000256234.1,12.915,0,3.799,5.74E-56
SMIM3,ENSG00000256235.1,8.215,21.303,-1.275,2.45E-25
RP11-473N11.2,ENSG00000256238.1,0.16,0.07,0.117,7.05E-08
RPL7AP3,ENSG00000256243.2,0.06,0,0.084,3.00E-09
RP11-324E6.6,ENSG00000256249.1,0.03,0,0.043,1.09E-01
RP11-989F5.1,ENSG00000256250.1,0,0.355,-0.438,8.81E-48
USP30-AS1,ENSG00000256262.1,1.045,0.13,0.856,4.46E-19
RP11-221N13.3,ENSG00000256268.1,0.12,0,0.164,2.55E-07
HMBS,ENSG00000256269.6,19.69,5.99,1.566,7.22E-53
TAS2R64P,ENSG00000256274.1,0.01,0.15,-0.187,4.35E-36
RP11-182J1.5,ENSG00000256278.1,0.06,0.12,-0.079,3.01E-09
RP11-504G3.4,ENSG00000256282.1,0.24,0.815,-0.55,4.16E-22
RP11-114F3.2,ENSG00000256293.2,0.055,0,0.077,5.24E-01
ZNF225,ENSG00000256294.7,0.94,3.155,-1.099,3.62E-44
RP11-989F5.3,ENSG00000256299.1,0,0.225,-0.292,3.04E-30
RP13-977J11.8,ENSG00000256312.1,0,0.205,-0.269,3.43E-32
RPL41P2,ENSG00000256338.2,2.265,65.609,-4.351,2.81E-168
HSPA8P5,ENSG00000256356.1,0.05,0,0.07,2.67E-07
RP11-613F22.6,ENSG00000256361.1,0.05,0.25,-0.252,1.79E-29
RP11-1060J15.4,ENSG00000256377.5,0.14,0.31,-0.2,1.86E-01
RP11-274J7.3,ENSG00000256399.1,0.05,0,0.07,4.94E-06
RP11-446E24.4,ENSG00000256407.1,0.035,0.04,-0.007,1.77E-02
RP11-1038A11.3,ENSG00000256417.1,2.33,0,1.735,1.70E-24
RP11-495K9.7,ENSG00000256424.1,0,0.135,-0.183,1.77E-38
RP1-102E24.8,ENSG00000256433.2,0.49,0.885,-0.339,2.75E-04
TAS2R31,ENSG00000256436.1,0.1,0.86,-0.758,5.57E-73
RP11-705C15.4,ENSG00000256442.1,0.14,0,0.189,1.36E-12
RP11-794G24.1,ENSG00000256443.1,0.06,0.035,0.034,3.92E-04
RP11-424M22.1,ENSG00000256450.1,0.02,0,0.029,7.58E-05
RP11-116G8.5,ENSG00000256462.1,0.01,0.105,-0.13,2.74E-01
YWHABP2,ENSG00000256464.1,0.1,0.46,-0.408,4.54E-47
RP11-73M18.2,ENSG00000256500.5,3.58,0,2.195,1.78E-39
MRGPRF-AS1,ENSG00000256508.2,0.02,2.705,-1.861,1.74E-232
POLG2,ENSG00000256525.6,6.855,24.336,-1.689,2.51E-65
RP11-212D19.5,ENSG00000256533.1,0.04,0.32,-0.344,6.03E-54
SMIM10L1,ENSG00000256537.4,6.995,3.6,0.797,5.78E-18
RP11-847H18.3,ENSG00000256538.1,0.05,0,0.07,1.00E+00
RP11-598F7.6,ENSG00000256540.1,0.45,0.295,0.163,4.71E-04
RP13-895J2.3,ENSG00000256542.2,0.01,0.02,-0.014,1.21E-01
RP11-113C12.4,ENSG00000256552.2,0.35,1.54,-0.912,1.53E-32
TRAV1-2,ENSG00000256553.1,0.1,0,0.138,1.36E-04
NANOGNBP2,ENSG00000256563.2,0,0.1,-0.138,6.06E-11
RP11-424M22.3,ENSG00000256564.1,0.06,0,0.084,1.28E-03
RP4-734P14.4,ENSG00000256566.1,0.42,0.975,-0.476,6.63E-10
RP11-800A3.3,ENSG00000256568.1,0.03,0,0.043,1.12E-03
OR13A1,ENSG00000256574.6,0.04,0.06,-0.027,1.00E+00
RP13-977J11.2,ENSG00000256576.2,0.19,1,-0.749,2.13E-22
RP11-283I3.2,ENSG00000256577.2,0.07,0.14,-0.091,3.29E-10
RP11-613F22.8,ENSG00000256588.1,0.03,0.23,-0.256,1.13E-50
TRDV3,ENSG00000256590.2,0.06,0,0.084,6.02E-06
RP11-286N22.8,ENSG00000256591.5,40.275,23.757,0.737,2.85E-13
RP11-705C15.2,ENSG00000256594.7,4.885,3.95,0.25,1.71E-03
RP11-522N14.2,ENSG00000256596.1,0.01,0.03,-0.028,4.52E-01
RP11-667M19.2,ENSG00000256603.1,0.1,0,0.138,8.27E-14
RP11-815J4.6,ENSG00000256616.3,0.11,0.14,-0.038,9.87E-01
RP11-582E3.4,ENSG00000256625.1,0.03,0.06,-0.041,1.00E+00
ZBTB11-AS1,ENSG00000256628.3,1.39,1.27,0.074,5.19E-01
RP11-169D4.2,ENSG00000256633.1,0.21,0.09,0.151,8.22E-05
PSMA2,ENSG00000256646.7,10.365,7.475,0.423,2.41E-09
RERG-IT1,ENSG00000256650.1,0,0.118,-0.161,1.58E-29
RP11-144O23.8,ENSG00000256651.1,0.02,0.145,-0.167,2.39E-25
RP11-429A20.4,ENSG00000256654.2,0.02,0,0.029,2.60E-01
RP11-424C20.2,ENSG00000256663.1,0.59,0.05,0.599,5.16E-18
RP11-611O2.3,ENSG00000256664.1,4.945,7.06,-0.439,1.07E-07
KLRAP1,ENSG00000256667.6,0.905,4.4,-1.503,1.15E-68
LIMS3L,ENSG00000256671.6,13.59,6.4,0.979,6.08E-08
RP11-172C16.4,ENSG00000256674.1,0,0.09,-0.124,4.87E-74
TAS2R12,ENSG00000256682.2,0.03,0.17,-0.184,1.24E-20
ZNF350,ENSG00000256683.6,4.625,7.225,-0.548,1.72E-08
RP11-727F15.9,ENSG00000256690.1,0.65,3.025,-1.287,8.33E-65
RP11-598F7.5,ENSG00000256694.1,0.47,0.24,0.245,4.52E-08
PGA5,ENSG00000256713.7,1.9,1.698,0.104,2.55E-02
RP11-167N4.4,ENSG00000256723.1,0,0.015,-0.021,1.94E-02
RP13-941N14.1,ENSG00000256742.1,0.34,0.255,0.095,9.25E-02
RP11-680H20.1,ENSG00000256745.1,0.91,0.4,0.448,1.20E-16
PLBD1-AS1,ENSG00000256751.5,0.545,0.235,0.323,3.64E-08
ZNF253,ENSG00000256771.2,5.51,4.898,0.142,1.18E-01
RP11-60C6.5,ENSG00000256779.1,0,0.06,-0.084,3.85E-15
RP11-680F8.1,ENSG00000256802.2,3.975,0.17,2.088,1.86E-50
RP11-21A7A.2,ENSG00000256824.1,0.05,0,0.07,3.85E-02
RP11-214K3.5,ENSG00000256827.1,0,0.17,-0.226,1.11E-06
RP11-664D1.1,ENSG00000256862.1,0,0.07,-0.098,1.16E-02
SLC5A8,ENSG00000256870.2,0,0.38,-0.465,6.47E-78
RP11-283G6.3,ENSG00000256894.1,3.805,0.18,2.026,2.82E-34
RP11-17G12.2,ENSG00000256897.1,0.08,0.375,-0.348,1.11E-38
RP11-707G14.8,ENSG00000256898.1,0.13,0.515,-0.423,1.65E-13
IQSEC3P1,ENSG00000256902.1,0,0.24,-0.31,7.43E-41
RP11-474D1.2,ENSG00000256906.1,0.07,0,0.098,3.49E-11
RP1-102E24.6,ENSG00000256913.1,0.04,0.03,0.014,2.93E-02
RP11-817J15.2,ENSG00000256916.1,0.585,0,0.664,6.17E-13
RP11-809N8.2,ENSG00000256928.1,0.17,0,0.227,2.36E-05
RP11-783K16.5,ENSG00000256940.1,3.78,0,2.257,3.00E-51
RP11-598F7.3,ENSG00000256948.1,0.05,0,0.07,2.58E-04
RP11-87C12.2,ENSG00000256950.2,0.225,0.975,-0.689,1.29E-57
RP11-613M10.8,ENSG00000256966.6,0.2,0,0.263,3.35E-09
RP11-273B20.1,ENSG00000256967.1,1.22,5.79,-1.613,3.22E-51
SNRPEP2,ENSG00000256968.1,1.205,3.505,-1.031,8.28E-27
RP11-359J14.2,ENSG00000256973.1,0.04,1.905,-1.482,1.88E-134
LIMS3,ENSG00000256977.10,4.475,1.7,1.02,7.43E-14
KHDC1L,ENSG00000256980.4,0.13,0.185,-0.069,3.98E-01
TAS2R18,ENSG00000256981.1,0.03,0.15,-0.159,2.88E-20
GPR142,ENSG00000257008.6,0,0.03,-0.043,6.98E-05
HP,ENSG00000257017.8,14.51,4.49,1.498,3.28E-06
RP11-705C15.3,ENSG00000257027.1,1.13,2.045,-0.516,3.09E-08
RP11-800A3.7,ENSG00000257038.1,0.665,0.735,-0.059,9.02E-01
RP11-993B23.3,ENSG00000257042.1,0.02,0,0.029,2.26E-01
RP11-137N23.1,ENSG00000257043.1,0.06,1.294,-1.114,1.39E-93
RP11-881M11.2,ENSG00000257052.1,0.335,0.105,0.273,3.16E-10
RP11-864I4.4,ENSG00000257058.1,0.1,0.285,-0.224,8.27E-07
RP11-266O8.1,ENSG00000257060.6,0.02,0.14,-0.16,5.83E-07
RP11-783K16.10,ENSG00000257069.5,0.09,0.07,0.027,3.09E-03
RP11-667M19.4,ENSG00000257070.1,0.06,0,0.084,6.48E-06
RPL29P33,ENSG00000257074.3,0.195,0,0.257,8.23E-02
RPEP6,ENSG00000257075.1,0.03,0,0.043,8.79E-05
U47924.27,ENSG00000257084.1,10.84,0,3.566,3.93E-88
RP11-783K16.13,ENSG00000257086.1,0.96,2.13,-0.675,4.18E-27
KIAA1147,ENSG00000257093.6,6.315,7.395,-0.199,3.19E-01
LSM14A,ENSG00000257103.8,56.129,69.84,-0.31,6.60E-03
NHLRC4,ENSG00000257108.1,0.505,3.02,-1.417,3.85E-36
RP11-25I15.3,ENSG00000257114.2,0.15,0.015,0.18,4.75E-09
RRN3P3,ENSG00000257122.5,1.935,3.325,-0.559,3.87E-14
RP11-320M2.1,ENSG00000257135.5,0.49,0.365,0.126,7.01E-05
RP11-320P7.2,ENSG00000257139.1,0.28,0.09,0.232,7.36E-02
PGAM1P5,ENSG00000257150.3,0.03,0.245,-0.273,3.65E-37
PWAR6,ENSG00000257151.1,0.62,7.355,-2.367,2.15E-93
TMPO-AS1,ENSG00000257167.2,2.085,1.43,0.344,9.56E-08
RP11-536C10.12,ENSG00000257175.2,0.04,0,0.057,1.91E-06
RP11-996F15.2,ENSG00000257176.2,0.24,0.91,-0.623,2.77E-36
RP11-357H14.16,ENSG00000257178.3,0.42,0,0.506,5.86E-16
RP11-611O2.5,ENSG00000257181.1,1.415,1.285,0.08,5.69E-03
RP11-567C2.1,ENSG00000257194.2,0.01,0,0.014,3.22E-01
HNRNPA1P50,ENSG00000257195.1,0.1,0,0.138,1.80E-09
FAM205BP,ENSG00000257198.6,0,0.01,-0.014,1.43E-07
GATC,ENSG00000257218.5,13.83,8.535,0.637,4.88E-10
RP11-54A9.1,ENSG00000257219.5,0.21,0,0.275,2.32E-12
RP11-689B22.2,ENSG00000257221.1,0.07,0,0.098,5.71E-05
RP11-554E23.4,ENSG00000257222.1,0.07,0.205,-0.171,1.55E-10
RP11-328C8.4,ENSG00000257225.1,0.07,0.21,-0.177,4.24E-10
RP11-630C16.2,ENSG00000257239.1,0.06,0,0.084,9.42E-02
RP11-133N21.7,ENSG00000257243.1,0.34,0.835,-0.454,2.38E-16
PHBP19,ENSG00000257246.1,0.695,0.235,0.457,3.18E-15
RP11-486A14.2,ENSG00000257252.5,0.15,0.64,-0.512,1.81E-19
RP11-767I20.1,ENSG00000257259.1,0,0.215,-0.281,1.43E-31
RP11-96H19.1,ENSG00000257261.5,2.34,3.045,-0.276,1.41E-01
MIR3179-1,ENSG00000257264.3,0.1,0.24,-0.173,1.04E-08
ZNF271P,ENSG00000257267.2,6.205,6.96,-0.144,3.83E-01
RP11-521B24.5,ENSG00000257270.1,1.005,6.675,-1.937,4.82E-32
RP11-317N8.3,ENSG00000257272.1,0.04,0,0.057,4.74E-04
RP11-231I16.1,ENSG00000257279.1,0.03,0.11,-0.108,8.76E-32
RP11-1060G2.1,ENSG00000257283.1,0.07,0.14,-0.091,1.05E-04
RP11-298I3.1,ENSG00000257285.5,0.975,2.27,-0.727,5.80E-12
RP11-557F20.2,ENSG00000257288.1,0.01,0,0.014,5.10E-05
RP3-405J10.3,ENSG00000257298.1,0.06,0.23,-0.215,1.54E-24
